22	1
-	2
oxacalcitriol	2
suppresses	0
secondary	3
hyperparathyroidism	4
without	0
inducing	0
low	3
bone	4
turnover	4
in	0
dogs	0
with	0
renal	3
failure	4
.	0

BACKGR0UND	0
:	0
Calcitriol	1
therapy	0
suppresses	0
serum	0
levels	0
of	0
parathyroid	0
hormone	0
(	0
PTH	0
)	0
in	0
patients	0
with	0
renal	3
failure	4
but	0
has	0
several	0
drawbacks	0
,	0
including	0
hypercalcemia	3
and	0
/	0
or	0
marked	0
suppression	3
of	4
bone	4
turnover	4
,	0
which	0
may	0
lead	0
to	0
adynamic	3
bone	4
disease	4
.	0

A	0
new	0
vitamin	1
D	2
analogue	0
,	0
22	1
-	2
oxacalcitriol	2
(	0
0CT	1
)	0
,	0
has	0
been	0
shown	0
to	0
have	0
promising	0
characteristics	0
.	0

This	0
study	0
was	0
undertaken	0
to	0
determine	0
the	0
effects	0
of	0
0CT	1
on	0
serum	0
PTH	0
levels	0
and	0
bone	0
turnover	0
in	0
states	0
of	0
normal	0
or	0
impaired	3
renal	4
function	4
.	0

METH0DS	0
:	0
Sixty	0
dogs	0
were	0
either	0
nephrectomized	0
(	0
Nx	0
,	0
N	0
=	0
38	0
)	0
or	0
sham	0
-	0
operated	0
(	0
Sham	0
,	0
N	0
=	0
22	0
)	0
.	0

The	0
animals	0
received	0
supplemental	0
phosphate	1
to	0
enhance	0
PTH	0
secretion	0
.	0

Fourteen	0
weeks	0
after	0
the	0
start	0
of	0
phosphate	1
supplementation	0
,	0
half	0
of	0
the	0
Nx	0
and	0
Sham	0
dogs	0
received	0
doses	0
of	0
0CT	1
(	0
three	0
times	0
per	0
week	0
)	0
;	0
the	0
other	0
half	0
were	0
given	0
vehicle	0
for	0
60	0
weeks	0
.	0

Thereafter	0
,	0
the	0
treatment	0
modalities	0
for	0
a	0
subset	0
of	0
animals	0
were	0
crossed	0
over	0
for	0
an	0
additional	0
eight	0
months	0
.	0

Biochemical	0
and	0
hormonal	0
indices	0
of	0
calcium	1
and	0
bone	0
metabolism	0
were	0
measured	0
throughout	0
the	0
study	0
,	0
and	0
bone	0
biopsies	0
were	0
done	0
at	0
baseline	0
,	0
60	0
weeks	0
after	0
0CT	1
or	0
vehicle	0
treatment	0
,	0
and	0
at	0
the	0
end	0
of	0
the	0
crossover	0
period	0
.	0

RESULTS	0
:	0
In	0
Nx	0
dogs	0
,	0
0CT	1
significantly	0
decreased	0
serum	0
PTH	0
levels	0
soon	0
after	0
the	0
induction	0
of	0
renal	3
insufficiency	4
.	0

In	0
long	0
-	0
standing	0
secondary	3
hyperparathyroidism	4
,	0
0CT	1
(	0
0	0
.	0
03	0
microg	0
/	0
kg	0
)	0
stabilized	0
serum	0
PTH	0
levels	0
during	0
the	0
first	0
months	0
.	0

Serum	0
PTH	0
levels	0
rose	0
thereafter	0
,	0
but	0
the	0
rise	0
was	0
less	0
pronounced	0
compared	0
with	0
baseline	0
than	0
the	0
rise	0
seen	0
in	0
Nx	0
control	0
.	0

These	0
effects	0
were	0
accompanied	0
by	0
episodes	0
of	0
hypercalcemia	3
and	0
hyperphosphatemia	3
.	0

In	0
animals	0
with	0
normal	0
renal	0
function	0
,	0
0CT	1
induced	0
a	0
transient	0
decrease	0
in	0
serum	0
PTH	0
levels	0
at	0
a	0
dose	0
of	0
0	0
.	0
1	0
microg	0
/	0
kg	0
,	0
which	0
was	0
not	0
sustained	0
with	0
lowering	0
of	0
the	0
doses	0
.	0

In	0
Nx	0
dogs	0
,	0
0CT	1
reversed	0
abnormal	0
bone	0
formation	0
,	0
such	0
as	0
woven	3
osteoid	4
and	0
fibrosis	3
,	0
but	0
did	0
not	0
significantly	0
alter	0
the	0
level	0
of	0
bone	0
turnover	0
.	0

In	0
addition	0
,	0
0CT	1
improved	0
mineralization	0
lag	0
time	0
,	0
(	0
that	0
is	0
,	0
the	0
rate	0
at	0
which	0
osteoid	0
mineralizes	0
)	0
in	0
both	0
Nx	0
and	0
Sham	0
dogs	0
.	0

C0NCLUSI0NS	0
:	0
These	0
results	0
indicate	0
that	0
even	0
though	0
0CT	1
does	0
not	0
completely	0
prevent	0
the	0
occurrence	0
of	0
hypercalcemia	3
in	0
experimental	0
dogs	0
with	0
renal	3
insufficiency	4
,	0
it	0
may	0
be	0
of	0
use	0
in	0
the	0
management	0
of	0
secondary	3
hyperparathyroidism	4
because	0
it	0
does	0
not	0
induce	0
low	3
bone	4
turnover	4
and	0
,	0
therefore	0
,	0
does	0
not	0
increase	0
the	0
risk	0
of	0
adynamic	3
bone	4
disease	4
.	0

Hypotension	3
,	0
bradycardia	3
,	0
and	0
asystole	3
after	0
high	0
-	0
dose	0
intravenous	0
methylprednisolone	1
in	0
a	0
monitored	0
patient	0
.	0

We	0
report	0
a	0
case	0
of	0
hypotension	3
,	0
bradycardia	3
,	0
and	0
asystole	3
after	0
intravenous	0
administration	0
of	0
high	0
-	0
dose	0
methylprednisolone	1
in	0
a	0
73	0
-	0
year	0
-	0
old	0
patient	0
who	0
underwent	0
electrocardiographic	0
(	0
ECG	0
)	0
monitoring	0
throughout	0
the	0
episode	0
.	0

There	0
was	0
a	0
history	0
of	0
ischemic	3
cardiac	3
disease	4
9	0
years	0
earlier	0
.	0

The	0
patient	0
was	0
admitted	0
with	0
a	0
pulmonary	3
-	4
renal	4
syndrome	4
with	0
hemoptysis	3
,	0
rapidly	0
progressive	0
renal	3
failure	4
,	0
and	0
hypoxemia	3
that	0
required	0
mechanical	0
ventilation	0
in	0
the	0
intensive	0
care	0
unit	0
.	0

After	0
receiving	0
advanced	0
cardiopulmonary	0
resuscitation	0
,	0
the	0
patient	0
recovered	0
cardiac	0
rhythm	0
.	0

The	0
ECG	0
showed	0
a	0
junctional	0
rhythm	0
without	0
ventricular	3
arrhythmia	4
.	0

This	0
study	0
reviews	0
the	0
current	0
proposed	0
mechanisms	0
of	0
sudden	3
death	4
after	0
a	0
high	0
dose	0
of	0
intravenous	0
methylprednisolone	1
(	0
IVMP	1
)	0
.	0

These	0
mechanisms	0
are	0
not	0
well	0
understood	0
because	0
,	0
in	0
most	0
cases	0
,	0
the	0
patients	0
were	0
not	0
monitored	0
at	0
the	0
moment	0
of	0
the	0
event	0
.	0

Rapid	0
infusion	0
and	0
underlying	0
cardiac	3
disease	4
